date,title,description,category,link
2026-09-04,PK Session Kickoff,"Season 1 PK meeting -- attendance + bring your book for full 5 pts.",pk_session,
2026-11-15,Fall Harvest Data Push,"Get harvest data submitted -- 1 pt per 20 acres, rolling.",harvest_data,
2027-02-15,DP Meeting Prep,"District Planning meeting coming up. Full 30 pts on the line.",dp_meeting,
2027-03-01,Vitality Index & Self-Eval Deadline,"Both forms due today. Combined 45 pts.",vitality_index,
2027-08-24,Pioneer Crop Condition Tour Kickoff,"Get out in the fields Aug 24-28. Drive the buzz, tell the Pioneer story.",crop_condition_tour,
