date,headline,body
2026-09-05,Season Kicks Off,"6 of 9 agencies checked in at the 9/4 PK session with their books. CW Seed, Heiting Seed, and Marker Ag -- catch up on the next one. Season is long, plenty of points to grab."
2026-09-16,New Category Added: Early Season Order Confirmation,Added a new 25 pt category tracking Early Season Order Confirmation (deadline was 9/11/2026). 8 of 9 agencies completed it -- Meyer Seeds is the only miss. Season total is now 610 pts across 22 categories. Full scoring guide is in the Rules & Definitions tab; updated PDF sent with today's Friday update.
